TermStart,TermEnd,TermNumber,TermName
09/02/2021 12:00:00 AM,10/22/2021 12:00:00 PM,1,Autumn
10/23/2021 12:00:00 AM,10/31/2021 12:00:00 PM,1,Holiday
11/01/2021 12:00:00 AM,12/17/2021 12:00:00 PM,2,Autumn
12/18/2021 12:00:00 AM,01/03/2022 12:00:00 PM,2,Holiday
01/04/2022 12:00:00 AM,02/18/2022 12:00:00 PM,3,Spring
02/19/2022 12:00:00 AM,02/27/2022 12:00:00 PM,3,Holiday
02/28/2022 12:00:00 AM,04/08/2022 12:00:00 PM,4,Spring
04/09/2022 12:00:00 AM,04/24/2022 12:00:00 PM,4,Holiday
04/25/2022 12:00:00 AM,05/27/2022 12:00:00 PM,5,Summer
05/28/2022 12:00:00 AM,06/05/2022 12:00:00 PM,5,Holiday
06/06/2022 12:00:00 AM,07/25/2022 12:00:00 PM,6,Summer
07/26/2022 12:00:00 AM,09/01/2022 12:00:00 PM,6,Holiday